,name,energy,smiles,from_EQ,from_EQ_smiles,to_EQ,to_EQ_smiles,H_moved
154,TS101,-154.869528022143,[HH].[H]C([H])([H])C([H])([H])O,EQ81,[HH].[H]C([H])([H])C([H])([H])O,EQ17,[H]C(=O)C([H])([H])[H].[H][H],0.0
155,TS102,-154.71637340986,[HH].[H]C[H].[H]OC([H])[H],EQ82,[HH].[H]C([H])O([H])C([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H],0.0
156,TS104,-154.710268720288,[HH].[H]C([H])O([H])C([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H],EQ45,[H]C1([H])=C([H])([H])O1.[H][H],0.0
157,TS105,-154.840812852775,[HH].[H]C([H])=O.[H]C([H])[H],EQ64,[HH].[H]C([H])=O.[H]C([H])[H],EQ64,[HH].[H]C([H])=O.[H]C([H])[H],0.0
158,TS106,-154.84233834996,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ42,[HH].[H]C([H])=O.[H]C([H])[H],0.0
159,TS107,-154.861486606976,[H]C[H].[H]OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
160,TS108,-154.864142023382,[H]C([H])OC([H])[H].[H][H],EQ44,[H]C([H])=O=C([H])[H].[H][H],EQ44,[H]C([H])=O=C([H])[H].[H][H],0.0
161,TS109,-154.840614651637,[HH].[H]C([H])=O.[H]C([H])[H],EQ43,[HH].[H]C([H])=O.[H]C([H])[H],EQ58,[HH].[H]C([H])=O.[H]C([H])[H],0.0
162,TS110,-154.840895852256,[HH].[H]C([H])=O.[H]C([H])[H],EQ64,[HH].[H]C([H])=O.[H]C([H])[H],EQ77,[HH].[H]C([H])=O.[H]C([H])[H],0.0
163,TS111,-154.820964764645,[H]C([H])=O.[H]C[H].[H][H],EQ70,[H]C([H])=O.[H]C[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],0.0
164,TS112,-154.676252548242,[HH].[H]C=O.[H]C[H].[H][H],EQ86,[HH].[H]C=O.[H]C[H].[H][H],EQ87,[HH].[H]C([H])=O.[H]C([H])[H],0.0
165,TS113,-155.019390092624,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O,0.0
166,TS114,-154.833619722632,[HH].[H]COC([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H],EQ45,[H]C1([H])=C([H])([H])O1.[H][H],0.0
167,TS115,-154.841045810465,[HH].[H]C([H])=O.[H]C([H])[H],EQ69,C=O.[H]C([H])([H])[H].[H][H],EQ89,[HH].[H]C([H])=O.[H]C([H])[H],0.0
